Date : 2020-03-23 22:13:10
Directory : c:\projects\ShopAppBeta\src
Total : 129 files,  2884 codes, 162 comments, 525 blanks, all 3571 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         86 |      2,073 |        146 |        465 |      2,684 |
| HTML       |         21 |        712 |          9 |         27 |        748 |
| CSS        |         22 |         99 |          7 |         33 |        139 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        129 |      2,884 |        162 |        525 |      3,571 |
| app                                                                                       |        121 |      2,791 |         86 |        492 |      3,369 |
| app\admin                                                                                 |         36 |        727 |         14 |        119 |        860 |
| app\admin\batch                                                                           |         12 |        209 |          3 |         39 |        251 |
| app\admin\batch\batch-form                                                                |          4 |         89 |          3 |         12 |        104 |
| app\admin\batch\search                                                                    |          4 |         72 |          0 |         15 |         87 |
| app\admin\category                                                                        |          3 |         57 |          0 |          6 |         63 |
| app\admin\ledger                                                                          |         12 |        265 |          8 |         49 |        322 |
| app\admin\ledger\groups-form                                                              |          4 |        108 |          4 |         18 |        130 |
| app\admin\ledger\ledger-form                                                              |          4 |        107 |          4 |         20 |        131 |
| app\admin\products                                                                        |          3 |         83 |          3 |          8 |         94 |
| app\calculator                                                                            |          4 |         94 |          1 |         20 |        115 |
| app\class                                                                                 |          6 |        159 |         15 |         39 |        213 |
| app\home                                                                                  |         19 |        430 |         12 |         74 |        516 |
| app\home\bill                                                                             |          4 |         61 |          0 |         12 |         73 |
| app\home\customer                                                                         |          4 |        111 |          2 |         15 |        128 |
| app\home\template-list                                                                    |          4 |         69 |          0 |         13 |         82 |
| app\interface                                                                             |         13 |        102 |          0 |         15 |        117 |
| app\login                                                                                 |          6 |        130 |          2 |         30 |        162 |
| app\nav-bar                                                                               |          4 |        116 |          1 |         20 |        137 |
| app\notification                                                                          |          4 |         80 |          0 |         15 |         95 |
| app\services                                                                              |          9 |        215 |         19 |         50 |        284 |
| app\sharing                                                                               |         11 |        416 |         19 |         69 |        504 |
| app\sharing\base-form                                                                     |          1 |         76 |          3 |         10 |         89 |
| app\sharing\paginated-table                                                               |          4 |        261 |         16 |         39 |        316 |
| app\voucher-form                                                                          |          3 |        207 |          3 |         22 |        232 |
| environments                                                                              |          2 |          6 |         11 |          4 |         21 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                  | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\projects\ShopAppBeta\src\app\admin\admin-routing.module.ts                             | TypeScript |         24 |          0 |          4 |         28 |
| c:\projects\ShopAppBeta\src\app\admin\admin.component.css                                 | CSS        |          0 |          0 |          1 |          1 |
| c:\projects\ShopAppBeta\src\app\admin\admin.component.html                                | HTML       |         26 |          0 |          0 |         26 |
| c:\projects\ShopAppBeta\src\app\admin\admin.component.spec.ts                             | TypeScript |         20 |          0 |          6 |         26 |
| c:\projects\ShopAppBeta\src\app\admin\admin.component.ts                                  | TypeScript |         10 |          0 |          3 |         13 |
| c:\projects\ShopAppBeta\src\app\admin\admin.module.ts                                     | TypeScript |         33 |          0 |          3 |         36 |
| c:\projects\ShopAppBeta\src\app\admin\batch\batch-form\batch-form.component.css           | CSS        |          0 |          0 |          1 |          1 |
| c:\projects\ShopAppBeta\src\app\admin\batch\batch-form\batch-form.component.html          | HTML       |         29 |          0 |          0 |         29 |
| c:\projects\ShopAppBeta\src\app\admin\batch\batch-form\batch-form.component.ts            | TypeScript |         50 |          3 |          9 |         62 |
| c:\projects\ShopAppBeta\src\app\admin\batch\batch-form\validate-json.ts                   | TypeScript |         10 |          0 |          2 |         12 |
| c:\projects\ShopAppBeta\src\app\admin\batch\batch.component.css                           | CSS        |          0 |          0 |          1 |          1 |
| c:\projects\ShopAppBeta\src\app\admin\batch\batch.component.html                          | HTML       |         14 |          0 |          0 |         14 |
| c:\projects\ShopAppBeta\src\app\admin\batch\batch.component.spec.ts                       | TypeScript |         20 |          0 |          6 |         26 |
